recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
142434145,"{'steamid': '76561199031990003', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 76429, 'playtime_last_two_weeks': 0, 'playtime_at_review': 72123, 'last_played': 1701573970}",spanish,Muy bueno poder tener generales y hacerlos mejorar,1689807103,1689807103,True,0,0,0,0,True,False,False,True,
141926480,"{'steamid': '76561199041545920', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 1277, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1276, 'last_played': 1689463861}",english,"wonderful game
",1689189426,1689189426,True,0,0,0,0,True,False,False,True,
141831715,"{'steamid': '76561198037653872', 'num_games_owned': 71, 'num_reviews': 12, 'playtime_forever': 373, 'playtime_last_two_weeks': 0, 'playtime_at_review': 327, 'last_played': 1690388470}",english,Dank,1689082008,1689082008,True,0,0,0,0,True,False,False,True,
141675258,"{'steamid': '76561198024750418', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2164, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1884, 'last_played': 1689022385}",english,This game is good.,1688904246,1688904246,True,0,0,0,0,True,False,False,True,
141565014,"{'steamid': '76561198053412323', 'num_games_owned': 0, 'num_reviews': 24, 'playtime_forever': 946, 'playtime_last_two_weeks': 0, 'playtime_at_review': 946, 'last_played': 1688397014}",english,"So old and out of date... graphics are poor and used to love this game, but now... not at all...  Beyond the Sword is a much better option.",1688779784,1688779784,False,0,0,0,0,True,False,False,True,
141550277,"{'steamid': '76561198086677719', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 323345, 'playtime_last_two_weeks': 3109, 'playtime_at_review': 293139, 'last_played': 1710904360}",english,replay value is great,1688762537,1688762537,True,0,0,0,0,True,False,False,True,
141524100,"{'steamid': '76561198069877806', 'num_games_owned': 0, 'num_reviews': 246, 'playtime_forever': 10379, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9602, 'last_played': 1689095410}",english,The battle never ends...one...more...turn...,1688737799,1688737799,True,0,0,0,0,True,False,False,True,
141068756,"{'steamid': '76561198108538909', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 234974, 'playtime_last_two_weeks': 4548, 'playtime_at_review': 124878, 'last_played': 1710819079}",english,LOVE THIS GAME,1688233926,1688233926,True,0,0,0,0,True,False,False,True,
140806568,"{'steamid': '76561198039542502', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 5575, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2636, 'last_played': 1689730890}",english,AWESOME FUN VERY INTRIGING,1687891828,1687891828,True,0,0,0,0,True,False,False,True,
140215104,"{'steamid': '76561198011440232', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 126766, 'playtime_last_two_weeks': 0, 'playtime_at_review': 95582, 'last_played': 1708872007}",english,"For an older game, it's great!",1687006974,1687006974,True,0,0,0,0,True,False,False,True,
